0,1,Perform,Class
42,74,-0.033763805,-1
38,78,0.127771413,1
66,37,0.183499793,1
62,48,-0.035667677,-1
48,68,0.235054797,1
68,48,0.295634519,1
43,73,0.215978335,1
44,72,0.214777396,1
37,77,0.156152245,1
48,68,-0.181489676,-1
37,73,-0.04955611,-1
51,59,0.196964324,1
18,98,0.091056645,1
46,32,-0.189595466,-1
54,62,0.20911948,1
41,35,0.190223509,1
46,62,-0.004060106,0
67,49,0.139385776,1
48,62,-0.145228305,-1
36,76,-0.078463719,-1
51,65,0.19952829,1
40,40,-0.250824901,-1
41,74,0.279161449,1
34,82,0.097407567,1
60,56,-0.154599882,-1
47,69,-0.068595097,-1
43,73,0.091382713,1
38,40,-0.100361303,-1
47,69,-0.178680621,-1
50,66,0.119564394,1
31,81,0.065761179,1
34,52,0.202951374,1
39,77,-0.057240348,-1
29,55,-0.084993805,-1
51,63,0.135367217,1
24,92,0.07199871,1
77,37,-0.014708327,0
43,73,0.013502248,0
39,73,-0.0283525,-1
51,56,0.075895687,1
43,73,0.076830425,1
23,93,-0.232208316,-1
37,74,0.138356132,1
36,72,-0.156990467,-1
49,67,-0.250175452,-1
51,63,-0.113372787,-1
49,67,0.00530902,0
29,87,0.173196293,1
40,73,0.236529464,1
56,54,-0.186514244,-1
35,81,0.075003753,1
39,41,-0.062730332,-1
47,68,0.098885205,1
55,55,0.203541699,1
60,56,-0.010778777,0
28,88,0.117719944,1
49,67,0.164767728,1
48,68,-0.125829346,-1
53,63,-0.047470727,-1
47,69,0.208167685,1
37,77,-0.073989402,-1
37,79,0.019965699,0
53,55,0.089157889,1
36,80,-0.032209928,-1
53,63,0.059477831,1
53,63,0.448263105,1
51,65,-0.02445121,-1
41,75,0.148061123,1
47,67,0.309117914,1
55,55,0.059318249,1
39,77,-0.158818508,-1
42,70,0.092177725,1
44,72,-0.037489833,-1
55,61,0.060078789,1
60,50,0.240371286,1
41,73,0.115705285,1
38,42,0.046312946,1
56,60,0.310357298,1
49,67,0.350130351,1
53,63,-0.077611688,-1
62,54,0.221819406,1
37,79,-0.148645748,-1
33,77,-0.12215256,-1
28,82,0.154820231,1
38,72,0.298490843,1
37,39,0.13761966,1
61,55,-0.160213511,-1
40,76,-0.104289437,-1
29,84,0.174952213,1
42,44,-0.100734617,-1
44,41,0.167456268,1
45,71,-0.064545743,-1
38,70,-0.101960355,-1
47,67,0.151715225,1
37,79,0.255812616,1
45,71,-0.238878089,-1
39,71,0.020115798,0
40,76,0.107934774,1
67,49,-0.004474336,0
64,51,-0.02269241,-1
45,71,-0.053934607,-1
36,78,0.369834331,1
48,61,-0.030705143,-1
43,73,-0.200138334,-1
36,80,-0.10500294,-1
43,73,-0.017971454,-1
43,72,-0.132559808,-1
48,68,-0.025504458,-1
35,81,0.171304547,1
38,78,0.061936427,1
48,67,-0.019184136,-1
44,63,-0.010803194,0
44,64,0.115441297,1
40,76,0.052785534,1
43,70,0.076806928,1
45,71,-0.066956608,-1
51,65,0.159306506,1
52,62,-0.170706869,-1
29,84,-0.042438157,-1
52,55,0.065391184,1
