iter	MultiClass
0	1.08260054611	1.0690576
2	1.057499804
3	1.047193555
4	1.037552877
5	1.029592719
6	1.022019639
7	1.015184521
8	1.00950379
9	1.00428161
10	0.9983751997
11	0.9938175448
12	0.9899390385113	0.986259583
14	0.9829760649
15	0.979968481
16	0.976843753
17	0.9742601256
18	0.9715628333
19	0.9688574573
20	0.9667128087
21	0.9638284795
22	0.9611288476
23	0.9588238234
24	0.9567795356
25	0.9548636216
26	0.9531437772
27	0.9514252293
28	0.9494927012
29	0.9477161548
30	0.9464582617
31	0.9451917646
32	0.9435220328
33	0.9423383671334	0.9409523667
35	0.9394270244
36	0.9383937459
37	0.9371022665
38	0.9354372058
39	0.9335428194
40	0.931994296
41	0.9304934668
42	0.9292222163
43	0.9273492759
44	0.9263741976
45	0.9250040109
46	0.9227848616
47	0.9219815557
48	0.9208131253
49	0.9198018053
50	0.9185809228
51	0.9172325142
52	0.9162589688
53	0.9152982166
54	0.9143028898
55	0.9130990027
56	0.9116977825
57	0.910600026
58	0.9091628247
59	0.9083151601
60	0.906753305
61	0.9058415013
62	0.9048666701
63	0.9033927938
64	0.9017476534
65	0.9007953255
66	0.8997363916
67	0.8983845
68	0.8969992448
69	0.8960124151
70	0.8944280812
71	0.8930955574
72	0.8919183581
73	0.8909672682
74	0.889210769
75	0.8886413476
76	0.8872242268
77	0.8862478678
78	0.8849284853
79	0.8838353836
80	0.8824206824
81	0.8812361001
82	0.8797429581
83	0.878594435
84	0.8776598797
85	0.8763533591
86	0.8746405499
87	0.872602977
88	0.8716952054
89	0.8701545453
90	0.8678371476
91	0.866789342
92	0.8660612064
93	0.8651646874
94	0.8640908878
95	0.863099125
96	0.862116582
97	0.8609055309
98	0.8594412964
99	0.8584100246
100	0.857181071
101	0.8561548625
102	0.8550434586
103	0.854095151
104	0.8529115968
105	0.8519051277
106	0.851088094
107	0.8496017531
108	0.8479531923
109	0.8467717211
110	0.845520125
111	0.8440727834
112	0.8426210927
113	0.8415682038
114	0.8399639483
115	0.8389214299
116	0.8375892943
117	0.8368165784
118	0.8353582617
119	0.8346361616
120	0.8333436191
121	0.8318775622
122	122	0.8263192123	123	0.824631124	0.8286827488
125	0.8275840961
126	0.8263535306
127	0.825232533
128	0.8235794191
129	0.8217658614
130	0.8205773627
131	0.8186967658
132	0.8176124364
133	0.8166737064
134	0.8154731765
135	0.8145057581
136	0.8130735118
137	0.8115773543
138	0.8105592403
139	0.809474913
140	0.140	0.80228141	0.141	0.80081142	0142	0.799728143	0.8039814599
144	0.8024309316
145	0.8010217791
146	0.7996709643
147	0.79844753
148	0.7976553675
149	0.795992687
150	0.7945031656
151	0.7934969832
152	0.7922767309
153	0.7914605112
154	0.7894664865
155	155	0.7828171156	156	0.7814348157	157	0.7799684158	158	0.7786663159	159	0.777317160	160	0.7763906161	161	0.7744380162	162	0.7736172163	163	0.7725293164	164	0.771991165	0165	0.770488166	0166	0.769485167	0167	0.767935168	0168	0.766159169	0169	0.7649942803
170	0.7641394909
171	0.7625280927
