iter	Passed	Remaining
0	144	144059
1	186	93101
2	228	75883
3	259	64664
4	286	56933
5	319	52888
6	349	49609
7	380	47224
8	412	45416
9	449	44511
10	477	42966
11	508	41884
12	541	41108
13	568	40019
14	604	39701
15	639	39335
16	688	39782
17	718	39221
18	742	38353
19	771	37783
20	801	37353
21	827	36783
22	859	36498
23	890	36220
24	922	35975
25	963	36079
26	981	35381
27	1011	35104
28	1037	34742929	1076	34807
30	1110	34722
31	1135	34353
32	1169	34279
33	1192	33873434	1239	34178
35	1359	36396
36	1435	37354
37	1476	37374
38	1528	37657
39	1553	37279
40	1628	38086
41	1688	38508
42	1727	38444
43	1762	38290
44	1796	38120
45	1821	37769
46	1865	37831
47	1901	37706
48	1930	37475
49	1962	37283
50	1992	37081
51	2016	36754
52	2046	36564
53	2079	36432
54	2113	36317
55	2140	36079
56	2181	36093
57	2208	35866
58	2240	35736
59	2283	35773
60	2318	35697
61	2359	35704
62	2396	35641
63	2568	37560
64	2596	37345
65	2627	37185
66	2663	37086
67	2705	37081
68	2768	37359
69	2811	37358
70	2852	37327
71	2901	37399
72	2931	37224
73	2955	36988
74	2979	36752
75	3009	36584
76	3040	36445
77	3085	36467
78	3117	36342
79	3144	36161
80	3180	36088
81	3222	36080
82	3248	35892
83	3280	35773
84	3319	35734
85	3346	35571
86	3397	35655
87	3426	35510
88	3455	35373
89	3489	35278
90	3516	35123
91	3553	35072
92	3608	35194
93	3686	35526
94	3737	35600
95	3794	35730
96	3828	35640
97	3856	35500
98	3880	35318
99	3917	35259
100	3949	35155
101	3978	35022
102	4011	34931
103	4042	34824
104	4089	34856
105	4125	347910106	4166	34768
107	4216	34829
108	4270	349010109	4307	348511110	4347	348211111	4394	348411112	4449	34927
113	4493	34919
114	4530	34866
115	4561	347611116	4584	346011117	4627	345811118	4663	345211119	4698	344512120	4737	344112121	4761	3427122	4786	34125
123	4814	34012
12124	4874	341212125	4929	341912126	4979	342312127	5036	343112128	5077	342812129	5135	343713130	5187	344113131	5225	343513132	5264	343113133	5299	342513134	5333	341713135	5360	340513136	5396	339913137	5430	339213138	5461	338313139	5484	3368140	5501	33515
141	5527	33401
142	5557	33307
14143	5604	333114144	5633	332114145	5654	330714146	5699	330714147	5733	330014148	5781	330214149	5817	329615150	5852	329015151	5884	328315152	5914	327415153	5946	326615154	5980	3260155	5994	32432
156	6017	32308
157	6040	32189
158	6068	32096
159	6095	32000
160	6127	31930
161	6154	31838
162	6171	31690
163	6192	31565
164	6208	31420
165	6240	31354
166	6260	31227
167	6281	31110
168	6315	31054
169	6341	30960
170	6364	30854
171	6391	30770
172	6409	30641
173	6431	30532
174	6453	30423
175	6471	30300
176	6489	30173
177	6512	30073
178	6535	29975
179	6558	29877
180	6589	29816
18181	6632	2981182	6648	29683
183	6678	29618
184	6706	29545
185	6771	29633
186	6830	29697
187	6862	29640
188	6885	29547
189	6909	29458
190	6934	29372
191	6961	29298
192	6990	29229
193	7018	29158
194	7045	29086
195	7071	29006
196	7092	28909
197	7118	28834
198	7146	28765
199	7172	28690
200	7201	28628
201	7230	28562
20202	7271	285420203	7298	284820204	7322	283920205	7346	283120206	7370	282320207	7395	281520208	7421	280820209	7443	280021210	7466	279221211	7493	278521212	7521	27789
213	7544	27711
214	7567	27631
215	7589	275421216	7612	27468
217	7632	27378
218	7653	27295
219	7677	27220
220	7697	27131
221	7717	27047
222	7743	26979
223	7765	26903
224	7788	268222225	7810	267522226	7838	266922227	7865	266322228	7883	265422229	7907	264723230	7932	264023231	7964	263623232	7988	262923233	8011	262223234	8035	2615235	8042	26034
236	8065	25967
237	8090	25903
238	8115	25840
239	8135	25762
240	8160	25699
241	8179	25621
242	8206	25563
243	8228	25495
244	8246	25413
245	8267	25339
24246	8306	253224247	8329	252524248	8355	252024249	8377	251325250	8401	250725251	8425	2500252	8437	24910
253	8462	24854
254	8485	24790
255	8508	24727
256	8530	24662
257	8555	24606
258	8576	24537
